;ModelName, PathName, MoveType, SolidType, Mass, Exploding, HitPoints, MinX, MinY, MinZ, MaxX, MaxY, MaxZ,GibType ,AnimSeq,seq0,seq1,seq2,seq3,seq4
d1_fly, models/e1/d1_fly.dkm, toss, bbox  ,300,0,50,-25,-25,-3,25,23,9,,1,0~29,0,0,0,0
chain1, models/e1/d1_chain1.dkm, none, bbox,300,0,0,-2,-11,-19,1,11,19,0,0,0,0,0,0,0
chain2, models/e1/d1_chain2.dkm, none, bbox,300,0,0,-11,-10,-19,11,10,19,0,0,0,0,0,0,0
dressr1, models/e1/d1_dressr1.dkm, none, bbox,300,0,20,-12,-23,-31,21,23,9,WOOD,0,0,0,0,0,0
dressr2, models/e1/d1_dressr2.dkm, none, bbox,300,0,20,-9,-24,-31,18,25,11,WOOD,0,0,0,0,0,0
hand2, models/e1/d1_hand2.dkm, none, bbox,300,0,20,-4,-5,-30,4,5,45,GIBS,0,0,0,0,0,0
head, models/e1/d1_head.dkm, none, bbox,300,0,20,-5,-7,-30,5,7,33,GIBS,0,0,0,0,0,0
hook1, models/e1/d1_hook1.dkm, none, bbox,300,0,20,-1,-5,-29,1,5,31,METAL,0,0,0,0,0,0
torso, models/e1/d1_torso.dkm, none, bbox,300,0,20,-12,-5,-29,14,7,55,GIBS,0,0,0,0,0,0
lamp1, models/e1/d1_lamp1.dkm, none, bbox,300,0,20,-5,-5,-30,5,5,20,GLASS,0,0,0,0,0,0
lamp2, models/e1/d1_lamp2.dkm, none, bbox,300,0,20,-10,-10,-31,10,10,58,GLASS,0,0,0,0,0,0
lamp3, models/e1/d1_lamp3.dkm, none, bbox,300,0,20,-4,-9,-31,4,9,38,GLASS,0,0,0,0,0,0
table2, models/e1/d1_table2.dkm, none, bbox,300,0,20,-45,-50,-31,40,45,10,WOOD,0,0,0,0,0,0
ragerack, models/e1/d1_ragerack.dkm, none, bbox,300,0,20,-20,-25,-31,42,25,34,METAL,0,0,0,0,0,0
ragearm, models/e1/d1_ragearm.dkm, none, bbox,300,0,20,-15,-9,-30,19,11,1,METAL,0,0,0,0,0,0
sludgeleg, models/e1/d1_sludgeleg.dkm, none, bbox,300,0,20,-13,-8,-31,18,24,23,METAL,0,0,0,0,0,0
barrel3, models/e1/d1_barrel3.dkm, none, bbox,300,0,20,-8,-9,-30,8,9,1,METAL,0,0,0,0,0,0
barrel4, models/e1/d1_barrel4.dkm, none, bbox,300,0,20,-8,-9,-30,8,9,1,METAL,0,0,0,0,0,0
coffin, models/e1/d1_coffin.dkm, none, bbox,300,1,70,-20,-30,-31,20,20,10,WOOD,0,0,0,0,0,0
coffin2, models/e1/d1_coffin2.dkm, none, bbox,300,1,70,-16,-16,-31,16,16,1,WOOD,0,0,0,0,0,0
htr1, models/e1/d1_htr1.dkm, none, bbox,300,1,30,-9,-9,-34,9,9,1,WOOD,0,0,0,0,0,0
htr2, models/e1/d1_htr2.dkm, none, bbox,300,1,30,-9,-9,-34,9,9,1,WOOD,0,0,0,0,0,0
htr3, models/e1/d1_htr3.dkm, none, bbox,300,1,30,-9,-9,-35,9,9,1,WOOD,0,0,0,0,0,0
htr4, models/e1/d1_htr4.dkm, none, bbox,300,1,30,-9,-9,-35,9,9,1,WOOD,0,0,0,0,0,0
swt1, models/e1/d1_swt1.dkm, none, bbox,300,0,0,-16,-16,-36,16,16,173,0,0,0,0,0,0,0
swt2, models/e1/d1_swt2.dkm, none, not,300,0,0,-1,-17,-32,13,11,14,0,0,0,0,0,0,0
swt3, models/e1/d1_swt3.dkm, none, bbox,300,0,0,-20,-20,-54,20,20,172,0,0,0,0,0,0,0
tplt, models/e1/d1_tplt.dkm, none, bbox,300,0,0,-8,-8,-40,8,7,19,0,0,0,0,0,0,0
swp3, models/e1/d1_swp3.dkm, none, not,300,0,0,-30,-30,-54,29,39,1,0,0,0,0,0,0,0
swp4, models/e1/d1_swp4.dkm, none, not,300,0,0,-10,-13,-33,12,9,1,0,0,0,0,0,0,0
swp5, models/e1/d1_swp5.dkm, none, not,300,0,0,-11,-10,-32,11,10,1,0,0,0,0,0,0,0
swp6, models/e1/d1_swp6.dkm, none, not,300,0,0,-15,-15,-31,17,15,1,0,0,0,0,0,0,0
swp7, models/e1/d1_swp7.dkm, none, not,300,0,0,-11,-13,-32,14,12,1,0,0,0,0,0,0,0
swp8, models/e1/d1_swp8.dkm, none, not,300,0,0,-19,-20,-30,15,16,1,0,0,0,0,0,0,0
swp9, models/e1/d1_swp9.dkm, none, not,300,0,0,-26,-28,-30,23,21,1,0,0,0,0,0,0,0
swp12, models/e1/d1_swp12.dkm, none, not,300,0,0,-16,-16,-24,16,16,32,0,0,0,0,0,0,0
swgrs, models/e1/d1_wtrgrss.dkm, none, not,300,0,0,-16,-16,-24,16,16,32,0,1, 0~7,0,0,0,0
plock, models/e1/d1_plock.dkm, none, bbox,300,0,1,-1,-2,-30,1,2,1,METAL,0,0,0,0,0,0
mihopod , models/e1/cin_mihopod.dkm, toss, bbox  ,300,0,1,-12,-12,-24,12,12,46,METAL,0,0,0,0,0,0
katwall  , models/e1/cin_katwall.dkm, none    , bbox  ,300,0,1,-2,-24,-24,2,24,-16,METAL,0,0,0,0,0,0
spewall  , models/e1/cin_spewall.dkm, none   , bbox  ,300,0,1,-2,-48,-24,2,48,-16,METAL,0,0,0,0,0,0
dojflag, models/e1/cin_dojflag.dkm, none   , bbox  ,300,0,1,-8,-8,-24,8,8,60,METAL,0,0,0,0,0,0
dojolamp,models/e1/dojolamp.dkm,none,not,300,0,0,-4,-12,-1,4,12,10,0,0,0,0,0,0,0
dojurne  , models/e1/cin_dojurne.dkm, toss   , bbox  ,300,0,1,-16,-16,-24,16,16,16,METAL,0,0,0,0,0,0
dojburn , models/e1/cin_dojburn.dkm, toss    , bbox  ,300,0,0,-16,-16,-24,16,16,22,0,0,0,0,0,0,0
