,sound1,frame1,sound2,frame2,flag,attack seq 1,attack seq 2,anim speed,anim %,sound2 %
amba,,,e1/m_bboaramba.wav,1,FRAME_LOOP,,,,60,10
ambb,,,e1/m_bboarambb.wav,1,FRAME_ONCE,,,,10,10
ambc,,,e1/m_bboarambc.wav,1,FRAME_ONCE,,,,30,10
ataka,e1/m_bboarataka.wav,1,,,FRAME_ONCE,5,10,250,,
atakb,e1/m_bboaratakb.wav,7,,,FRAME_ONCE,7,,250,,
diea,e1/m_bboardiea.wav,1,,,FRAME_ONCE,,,,,
dieb,e1/m_bboardieb.wav,1,,,FRAME_ONCE,,,,,
hita,e1/m_bboarhita.wav,1,,,FRAME_ONCE,,,,,
hitb,e1/m_bboarhitb.wav,1,,,FRAME_ONCE,,,,,
hitc,e1/m_bboarhita.wav,1,,,FRAME_ONCE,,,,,
runa,e1/m_bboarruna.wav,1,,,FRAME_ONCE,,,250,,
rev,e1/m_bboarrev.wav,1,,,FRAME_ONCE,,,,,
sighta,e1/m_bboarsighta.wav,1,,,FRAME_ONCE,,,,70,
sightb,e1/m_bboarsightb.wav,1,,,FRAME_ONCE,,,,30,
