,sound1,frame1,sound2,frame2,flag,attack seq 1,attack seq 2,anim speed,anim %,sound2 %
amba,,,e1/m_frogamba.wav,1,FRAME_LOOP,,,,75,20
ambb,,,e1/m_frogambb.wav,1,FRAME_ONCE,,,,25,50
ataka,e1/m_frogataka.wav,7,,,FRAME_ONCE,7,,100,,
atakb,e1/m_frogatakb.wav,5,,,FRAME_ONCE,6,14,100,,
atakc,e1/m_frogatakc.wav,9,,,FRAME_ONCE,12,,100,,
diea,e1/m_frogdiea.wav,1,,,FRAME_ONCE,,,,,
swima,e1/m_frogswima.wav,1,,,FRAME_ONCE,,,,,
jumpa,e1/m_frogjumpa.wav,6,,,FRAME_ONCE,,,,,
walka,e1/m_frogwalka.wav,3,,,FRAME_ONCE,,,100,,
sighta,e1/m_frogsighta.wav,1,,,FRAME_ONCE,,,,50,
sightb,e1/m_frogsightb.wav,1,,,FRAME_ONCE,,,,50,
runa,e1/m_frogruna.wav,1,,,FRAME_ONCE,,,200,,
