,sound1,frame1,sound2,frame2,flag,attack seq 1,attack seq 2,anim speed
amba,,1,,,FRAME_LOOP,,,
ambb,,1,,,FRAME_ONCE,,,
diea,e1/m_mwguarddiea.wav,1,,,FRAME_ONCE,,,
runa,e1/m_mwguardwalka.wav,1,e1/m_mwguardwalkb.wav,8,FRAME_ONCE,,,
walka,e1/m_mwguardwalka.wav,1,e1/m_mwguardwalkb.wav,8,FRAME_ONCE,,,
walkb,e1/m_mwguardwalka.wav,1,e1/m_mwguardwalkb.wav,8,FRAME_ONCE,,,
walkc,e1/m_mwguardwalka.wav,1,e1/m_mwguardwalkb.wav,8,FRAME_ONCE,,,
walkd,e1/m_mwguardwalka.wav,1,e1/m_mwguardwalkb.wav,8,FRAME_ONCE,,,
walke,e1/m_mwguardwalka.wav,1,e1/m_mwguardwalkb.wav,8,FRAME_ONCE,,,
bamba,e1/Keyboard_loop.wav,1,e1/null.wav,19,FRAME_ONCE,,,
sighta,,1,,,FRAME_ONCE,,,
sightb,,1,,,FRAME_ONCE,,,
sightc,,1,,,FRAME_ONCE,,,
