,sound1,frame1,sound2,frame2,flag,attack seq,attack seq 2,anim speed,anim %,sound2 %
amba,e2/m_centurionamba.wav,1,,,FRAME_LOOP,,,,,
ataka,e2/m_centurionataka.wav,6,global/m_knifehitd.wav,,FRAME_ONCE,9,,,,
atakb,e2/m_centurionatakb.wav,5,global/m_knifehitd.wav,,FRAME_ONCE,7,,,,
diea,e2/m_centuriondiea.wav,1,,,FRAME_ONCE,,,,,
hita,e2/m_centurionhita.wav,1,,,FRAME_ONCE,,,,,
runa,e2/m_centurionruna.wav,1,e2/m_centurionrunb.wav,8,FRAME_ONCE,,,250,,
walka,e2/m_centurionwalka.wav,1,e2/m_centurionwalkb.wav,10,FRAME_ONCE,,,150,,
sighta,e2/m_centurionsighta.wav,1,,,FRAME_ONCE,,,,15,
sightb,e2/m_centurionsightb.wav,1,,,FRAME_ONCE,,,,15,
sightc,e2/m_centurionsightc.wav,1,,,FRAME_ONCE,,,,15,
sighte,e2/m_centurionsighte.wav,1,,,FRAME_ONCE,,,,15,
sightf,e2/m_centurionsightf.wav,1,,,FRAME_ONCE,,,,15,
sightl,e2/m_centurionsightl.wav,1,,,FRAME_ONCE,,,,25,
