,sound1,frame1,sound2,frame2,flag,attack seq 1,attack seq 2,anim speed,anim %,sound2 %
amba,,1,,,FRAME_ONCE,,,,95,
ambb,,1,,,FRAME_ONCE,,,,5,
ataka,e2/m_columnataka.wav,15,,,FRAME_ONCE,18,,100,,
atakb,e2/m_columnatakc.wav,1,,,FRAME_ONCE,14,,100,,
diea,e2/m_columndiea.wav,1,,,FRAME_ONCE,,,,,
hita,e2/m_columnhita.wav,1,,,FRAME_ONCE,,,,,
hitb,e2/m_columnhitb.wav,1,,,FRAME_ONCE,,,,,
runa,e2/m_columnwalka.wav,1,e2/m_columnwalkb.wav,6,FRAME_ONCE,,,200,,
walka,e2/m_columnwalka.wav,1,e2/m_columnwalkb.wav,8,FRAME_ONCE,,,100,,
awaken,e2/m_columnawaken.wav,1,,,FRAME_ONCE,,,,,
