,sound1,frame1,sound2,frame2,flag,attack seq 1,attack seq 2,anim speed,anim %,sound2 %
amba,,,e3/m_fletcheramba.wav,1,FRAME_LOOP,,,,80,5
ambb,,,e3/m_fletcherambb.wav,1,FRAME_ONCE,,,,20,15
ataka,e3/m_fletcherataka.wav,9,,,FRAME_ONCE,26,,250,,
atakb,e3/m_fletcherataka.wav,9,,,FRAME_ONCE,30,,250,,
diea,e3/m_fletcherdiea.wav,1,,,FRAME_ONCE,,,,,
dieb,e3/m_fletcherdieb.wav,1,,,FRAME_ONCE,,,,,
hita,e3/m_k1hita.wav,1,,,FRAME_ONCE,,,,,
hitb,e3/m_k1hitb.wav,1,,,FRAME_ONCE,,,,,
runa,e3/m_fletcherruna.wav,1,,,FRAME_ONCE,,,250,,
walka,e3/m_fletcherwalka.wav,1,,,FRAME_ONCE,,,45,,
sighta,e3/m_fletchersighth.wav,1,,,FRAME_ONCE,,,,80,
