,sound1,frame1,sound2,frame2,flag,attack seq 1,attack seq 2,anim speed,anim %,sound2 %
amba,,,e3/m_k2amba.wav,1,FRAME_LOOP,,,,90,5
ambb,,,e3/m_k2ambb.wav,1,FRAME_ONCE,,,,10,20
atakc,e3/m_k2atakc.wav,6,,,FRAME_ONCE,26,,220,,
diea,e3/m_k2diea.wav,1,,,FRAME_ONCE,,,,,
dieb,e3/m_k2dieb.wav,1,,,FRAME_ONCE,,,,,
hita,e3/m_k2hita.wav,1,,,FRAME_ONCE,,,,,
hitb,e3/m_k2hitb.wav,1,,,FRAME_ONCE,,,,,
runa,e3/m_k1runa.wav,1,,,FRAME_ONCE,,,220,,
walka,e3/m_k1walka.wav,1,,,FRAME_ONCE,,,150,,
dodgea,e3/m_k1runa.wav,1,,,FRAME_ONCE,,,,,
dodgeb,e3/m_k1runa.wav,1,,,FRAME_ONCE,,,,,
