,sound1,frame1,sound2,frame2,flag,attack seq 1,attack seq 2,anim speed,anim %,sound2 %
amba,e3/m_pratambc.wav,1,,,FRAME_LOOP,,,,80,20
ambb,e3/m_pratambb.wav,1,,,FRAME_ONCE,1,,,20,50
ataka,e3/m_pratataka.wav,5,,,FRAME_ONCE,7,,250,,
atakb,e3/m_pratatakb.wav,18,,,FRAME_ONCE,21,,250,,
diea,e3/m_pratdiea.wav,1,,,FRAME_ONCE,,,,,
dieb,e3/m_pratdiea.wav,1,,,FRAME_ONCE,,,,,
eata,e3/m_lycanthireatb.wav,5,,,FRAME_ONCE,,,,,
hita,e3/m_prathita.wav,1,,,FRAME_ONCE,,,,,
hitb,e3/m_prathitb.wav,1,,,FRAME_ONCE,,,,,
jumpa,e3/m_pratjumpa.wav,1,,,FRAME_ONCE,,,,,
runa,e3/m_pratwalka.wav,4,e3/m_pratwalkb.wav,9,FRAME_ONCE,,,250,,
walka,e3/m_pratwalka.wav,1,e3/m_pratwalkb.wav,12,FRAME_ONCE,,,150,,
swima,e3/m_pratswima.wav,1,,,FRAME_ONCE,,,,,
sighta,e3/m_pratsighta.wav,1,,,FRAME_ONCE,,,,40,
sightb,e3/m_pratsightb.wav,1,,,FRAME_ONCE,,,,40,
sightc,e3/m_pratsightc.wav,1,,,FRAME_ONCE,,,,20
