,sound1,frame1,sound2,frame2,flag,attack seq 1,attack seq 2,anim speed,anim %,sound2 %
amba,,,e3/m_nharreamba.wav,1,FRAME_LOOP,,,,100,5
atakb,e3/m_nharreatakb.wav,1,,,FRAME_ONCE,1,,,,
atakc,e3/we_chant3.wav,1,,,FRAME_ONCE,47,,,,
diea,e3/m_nharrediea.wav,1,,,FRAME_ONCE,,,,,
hita,e3/m_nharrehita.wav,1,,,FRAME_ONCE,,,,,
hitb,e3/m_nharrehitb.wav,1,,,FRAME_ONCE,,,,,
runa,e3/m_stavroswalka.wav,1,e3/m_stavroswalkb.wav,8,FRAME_ONCE,,,125,,
walka,e3/m_stavroswalka.wav,1,e3/m_stavroswalkb.wav,8,FRAME_ONCE,,,50,,
sighta,e3/m_nharresighta.wav,1,,,FRAME_ONCE,,,,50,
sightb,e3/m_nharresightb.wav,1,,,FRAME_ONCE,,,,50,
