,sound1,frame1,sound2,frame2,flag,attack seq,attack seq2,anim speed,anim %,sound2 %
amba,,,e4/m_rocketmpamba.wav,1,FRAME_LOOP,,,,85,5
ambb,,,e4/m_rocketmpambb.wav,1,FRAME_ONCE,,,,15,10
ataka,e4/m_rocketmpataka.wav,8,,,FRAME_ONCE,1,,300,,
atakb,global/we_swordwhooshe.wav,8,global/m_knifehite.wav,,FRAME_ONCE,10,,300,,
atakc,global/p_stp3.wav,1,global/p_stp4.wav,8,FRAME_ONCE,,,300,,
diea,e4/m_rocketmpdiea.wav,1,,,FRAME_ONCE,,,,,
hita,e4/m_rocketmphita.wav,1,,,FRAME_ONCE,,,,,
runa,global/p_stp3.wav,1,global/p_stp4.wav,8,FRAME_ONCE,,,300,,
walka,global/p_stp3.wav,1,global/p_stp4.wav,8,FRAME_ONCE,,,50,,
sighta,e4/m_rocketmpsighta.wav,1,,,FRAME_ONCE,,,,20,
sightb,e4/m_rocketmpsightb.wav,1,,,FRAME_ONCE,,,,20,
sightc,e4/m_rocketmpsightc.wav,1,,,FRAME_ONCE,,,,20,
sightd,e4/m_rocketmpsightd.wav,1,,,FRAME_ONCE,,,,20,
sighte,e4/m_rocketmpsighte.wav,1,,,FRAME_ONCE,,,,20,
