,sound1,frame1,sound2,frame2,flag,attack seq 1,attack seq 2,anim speed,anim %,sound2 %
amba,,,e4/m_rockgangamba.wav,1,FRAME_LOOP,,,,90,5
ambb,,,e4/m_rockgangambb.wav,1,FRAME_ONCE,,,,10,10
ataka,e4/m_rockgangataka.wav,13,,,FRAME_ONCE,15,,250,,
atakb,e4/m_rockgangatakb.wav,10,,,FRAME_ONCE,15,,250,,
diea,e4/m_rockgangdiea.wav,1,,,FRAME_ONCE,,,,,
dieb,e4/m_rockgangdieb.wav,1,,,FRAME_ONCE,,,,,
hita,e4/m_rockganghita.wav,1,,,FRAME_ONCE,,,,,
hitb,e4/m_rockganghitb.wav,1,,,FRAME_ONCE,,,,,
runa,e4/m_rockgangwalka.wav,1,e4/m_rockgangwalkb.wav,8,FRAME_ONCE,,,250,,
walka,e4/m_rockgangwalka.wav,1,e4/m_rockgangwalkb.wav,8,FRAME_ONCE,,,53,,
jumpa,e4/m_rockgangjumpa.wav,6,,,FRAME_ONCE,,,,,
sighta,e4/m_rockgangsighta.wav,1,,,FRAME_ONCE,,,,70,
sightb,e4/m_rockgangsightb.wav,1,,,FRAME_ONCE,,,,4,
sightc,e4/m_rockgangsightc.wav,1,,,FRAME_ONCE,,,,4,
sightd,e4/m_rockgangsightd.wav,1,,,FRAME_ONCE,,,,4,
sighte,e4/m_rockgangsighte.wav,1,,,FRAME_ONCE,,,,4
sightf,e4/m_rockgangsightf.wav,1,,,FRAME_ONCE,,,,4
sightg,e4/m_rockgangsightg.wav,1,,,FRAME_ONCE,,,,10
