,sound1,frame1,sound2,frame2,flag,attack seq 1,attack seq 2,anim speed,anim %,sound2 %
amba,,,,,FRAME_LOOP,,,,85,10
ambb,,,,,FRAME_ONCE,,,,15,20
ataka,e4/we_ripgunshootc.wav,15,,35,FRAME_ONCE,16,,375,,
atakb,e4/we_ripgunshootc.wav,4,e4/m_uzigngruna.wav,1,FRAME_ONCE,5,,375,,
diea,e4/m_sgirldiea.wav,1,,,FRAME_ONCE,,,,,
dieb,e4/m_sgirldieb.wav,1,,,FRAME_ONCE,,,,,
hita,e4/m_sgirlhita.wav,1,,,FRAME_ONCE,,,,,
hitb,e4/m_sgirlhitb.wav,1,,,FRAME_ONCE,,,,,
runa,e4/m_uzigngruna.wav,1,,,FRAME_ONCE,,,375,,
walka,e4/m_uzigngwalka.wav,1,,,FRAME_ONCE,,,50,,
sighta,e4/m_sgirlsighta.wav,1,,,FRAME_ONCE,,,,44,
sightb,e4/m_sgirlsightb.wav,1,,,FRAME_ONCE,,,,4,
sightc,e4/m_sgirlsightc.wav,1,,,FRAME_ONCE,,,,4,
sightd,e4/m_sgirlsightd.wav,1,,,FRAME_ONCE,,,,44,
sighte,e4/m_sgirlsighte.wav,1,,,FRAME_ONCE,,,,4,
