,sound1,frame1,sound2,frame2,flag,attack seq 1,attack seq 2,anim speed,anim %,sound2 %
amba,,,e4/m_wprisamba.wav,1,FRAME_LOOP,,,,80,1
ambb,,,e4/m_wprisambb.wav,10,FRAME_ONCE,,,,15,5
ambc,,,e4/m_wprisambc.wav,1,FRAME_ONCE,,,,5,5
ataka,e4/m_bprisataka.wav,7,global/m_punchc.wav,,FRAME_ONCE,10,,240,,
atakb,e4/m_bprisataka.wav,8,global/m_punchc.wav,,FRAME_ONCE,11,15,240,,
atakc,e4/m_bprisataka.wav,7,global/m_punchc.wav,,FRAME_ONCE,10,,240,,
atakd,e4/m_bprisataka.wav,15,global/m_punchc.wav,,FRAME_ONCE,21,,240,,
diea,e4/m_wprisdiea.wav,1,,,FRAME_ONCE,,,,,
dieb,e4/m_wprisdieb.wav,1,,,FRAME_ONCE,,,,,
hita,e4/m_wprishita.wav,1,,,FRAME_ONCE,,,,,
hitb,e4/m_wprishitb.wav,1,,,FRAME_ONCE,,,,,
runa,e4/m_wpriswalka.wav,1,e4/m_wpriswalkb.wav,8,FRAME_ONCE,,,240,,
walka,e4/m_wpriswalka.wav,1,e4/m_wpriswalkb.wav,8,FRAME_ONCE,,,150,,
sighta,e4/m_wprissighta.wav,1,,,FRAME_ONCE,,,,15,
sightb,e4/m_wprissightb.wav,1,,,FRAME_ONCE,,,,25,
sightc,e4/m_wprissightc.wav,1,,,FRAME_ONCE,,,,15
sightd,e4/m_wprissightd.wav,1,,,FRAME_ONCE,,,,15
sighte,e4/m_wprissighte.wav,1,,,FRAME_ONCE,,,,15
sightf,e4/m_wprissightf.wav,1,,,FRAME_ONCE,,,,15
